Sentence,Emotion
지기들은 손해볼거 없다는건가,중립
직원 쓰는게 힘들더라구요.,슬픔
드디어!!!! 장하다!!!,행복
버젓이 카메라에 다 찍혔구만 오리발 내미는 이상한 인간들,혐오
똑똑하네 TK눈을 뜨나?,놀람
너무 나도 좋은 음식을 먹기 좋게 만들어주시는  백선생님 늘 사랑합니다..,행복
망하면?,중립
어떻게 해야되죠0,공포
솔직히 현역포함해서 몇몇은 약하고 있던것 아닌가 의심스러워요.,혐오
요즘 십대들멘탈이 저정도로 약해빠졌었나?ㅋㅋ,놀람
햐 점점 갈수록 사람보기 어려워 지겠구나...,슬픔
밀렵꾼들 머가리에 구멍내버려라,분노
하..이게맞는걸까,공포
박근혜 최순실 광화문 한복한에 놓고 장성택 꼴내고싶다,분노
이것들의 실체는 우익보수로 신분세탁한 빨갱이들과 친일파와 박정희일가 노비들임,분노
백설명님 먹방 지대루 하시네요~,행복
자꾸 눈에 띄고 그러네요 ㅠㅠ,슬픔
보여주기식 훤히보인다 에이그 치킨아,분노
소나기온다매 ㅡㅡㅡㅡㅡㅡㅡ,분노
ㅋ ㅋㅋㅋㅋ그런일이 있었구만,놀람
ㅋㅋ 트와이스 극혐빠순이들 여럿 경찰서가겠네 ㅋㅋㅋ,혐오
천만까지갈영화는 아니엿는데 신기방기;;,놀람
근데 그여자는 애가둘이 있네요,공포
대한민국 종북좌빨 및 간첩이 232만명,혐오
어버이연합먼저 없애야죠,혐오
제일 중요한건 이모든 사태는 우리가 만들었다는거!!!,슬픔
기권이 더 나쁘다 개인자격으로 있는 자리가 아닌데 왜 버림?,분노
우리모두 준혁이성과 LG선수들이 선전할수 있게 기를 넣어줍시다.,행복
그리구 화이팅 건강하시구요,행복
박수를 보냅니다..,행복
박근혜 처형 시켜라~~~~~~~,분노
짬나는시간마다 줄넘기하고 운동하고 밥줄이고있는데 살이잘안빠져서요..,슬픔
제가 친구들이랑 있을때는 말도 많이 하고 그런데 물론 남고라서 여자 볼 일은 거의 없는데 가끔 막 머리 자르고 그럴때 말을 거의 안하거든요..,공포
군대가기 싫으면 안돼요 싫어요 했어야지 지네도 즐겨놓고 깔깔깔깔깔,공포
"이미 소유권은 구매자한테 있는데, 일방적으로 조종해도 법적으로 문제 없나요? ... 이게 내 폰인지, 삼성 폰인지...헷갈림.;;;",놀람
이재용 없이도 삼성돌아간다.. 이재용이 망하면 삼성이 망하나..ㅋㅋ 한진해운처럼되냐,중립
사장님께 말하기가 무서운게 고민0,공포
맘고생이 얼마나컸을까요,슬픔
1천만명이란다ㅋㅋ전부 10배이상 뻥튀기 숫자를 그대로인정한거네 역시sbs,놀람
현재 그냥 살아가는데 도저히 남편을 못믿겠어요,공포
이러는데너무 귀여워 죽겟닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,행복
그냥 단순 범죄집단인가,공포
보는 내내 입가에 미소가 끊이지 않는 드라마!,행복
지금 나오길 잘한것 같다..,중립
난중에 읽어보려고 댓 먼저 씀,중립
너를 너무 사랑해서 널 행복하게 해주고 싶었을 뿐이지 몰라서 다퍼다준 바보가 아니다,혐오
님 주제나 알고 다니세요;,중립
시댁도 얼마전 이사가서 주소도 몰라요 ㅠㅠ,공포
어떻게든 뭔가 찾아내려고 안달을 하는중..?,중립
왠일? 리콜? 옴레기때랑 다르네 ㅋ,중립
대구여고생을 보니 우리의 미래가 어둡지는 않네요^^*,행복
견디고 견뎌봤는데 이제는 한계에 다다른 듯 합니다,슬픔
당신은 구단선정한 선수이기보다팬들이선정한 미스터엘지임다.....,행복
오늘 회원정보 보다가 깜짝놀라서요....,놀람
일주일정도 됐는데 태몽을 먼저 꾸는경우도 있는건가요??,놀람
오늘 주말맞지?,놀람
실제로보니까 생각보다 작고 똥글 순하게생겼던디 그얼굴로 매날 만취해서 운전? ㅋ,놀람
저런새키들은 주여야지,분노
아이유가 남잘 질리게하는듯....멸치비롯,혐오
벌써 삼성이 저러면 헬조선 망했다 보는게 맞네,중립
프랑스가 이겼네 ㅎㅎㅎㅎㅎ,중립
박순실과 닭들이 한국경제 다말아먹고 있노 짱나,혐오
물어보니깐 걔가 맞지않나? ㅎ..,놀람
나만 탑이 불편했나...,놀람
놓치기 아까운 사람이라 이렇게 고민도 해보는거 같네요..,공포
그래서 저는 집 와서도 계속 뭔가 예의없는 이미지 심어진 것 같고 걱정되네요...ㅠㅠ,슬픔
북한이 너무 빠르게 핵개발과 SLBM을 성공시키고 있다.,공포
다른나라 아무데도 안할라하는데한국만 하겠네...ㅋㅋㅋㅋㅋ,슬픔
요즘 하지 못한 음식을 텔레비젼에서 많은 배움을 얻어 와이프한테 만들주면 맛은 없어도 고마워 하니 백선생님께 감사드립니다.,행복
다이어트를하기위해서매일운동을하자나요,행복
그렇게 자세히 바퀴 본적도 처음...,놀람
연아양 본인이 만족하고 행복해하니 팬 입장으로서도 뿌듯하네요.,행복
티원 락스 파이팅~,행복
홍보팀에서 연초에 보도자료 좀 뿌렸군요,혐오
야 보검아 벌써재밌다 ㅋㅋㅋㅋㅋㅋ,행복
헤어진지 3주 나혼자 아파하고있는데..,슬픔
운동도 같은걸 배우고 대화의소재가 공감하는 하나가 있다는 것도좋네요.,행복
어휴.. 다시는 볼일 없을듯.,슬픔
15키로 빼면 정말 예뻐질까요?,공포
4번째사진 개쩐다...,놀람
국민은 이렇게 법을 지키는데 윗분들은 법을 개무시 하는거네,분노
2022년도에 우승하겠네 ㅋㅋ,중립
하 난 왜사는걸까~~??,분노
미안해 고마워,슬픔
중국에서 잡히면 사형인데,혐오
상산고면 수재들만 모인 곳이네,놀람
골킵 17세 ㄷㄷ ㄷ,놀람
잘한 결정이다.,행복
적극적으로 찬성합니다,중립
증거가 계속 나오는데 없다고하니 ㅉㅉ,혐오
제가 심각한 고민이잇어서요,슬픔
내가 니얼굴 평생기억하겠다 이경재,분노
"집에 tv가 없지만, 인터넷으로 두루두루 찾아서 보는 광팬입니다.",행복
제보한 시민들 응원합니다!!,행복
닭근혜가 시킨거임.,혐오
검찰청을 JTBC로,중립
이러려구 사귀나보다 ㅜㅜ,행복
찬호 형님 존경합니다.,행복
정애리씨!좋은일 많이하시네요^^,행복
아이폰은 명품이 아니다. 1년만 지나도 구닥다리가 되고 10년 지나면 폐기물이 되는 전자제품일 뿐이겠당,혐오
오르지않는건아이성적과남편월급뿐이라더니,슬픔
2007년 전국의 텔미열풍은 잊을수없다,행복
불구속?,놀람
세금은 10배넘게 거두면서....,혐오
그니까 이놈저놈 그만만나,혐오
이게 박정희 후빨틀딱충들의 전형적인 모습이다ㅋㅋㅋㅋ,분노
와 완전 뻔뻔하네요,혐오
사도스키 서현진 ㄷㄷㄷ,놀람
학사학위??,놀람
음주운전은 가족까지 사형시켜야함,분노
열심히 쓴 댓글 왜??,놀람
정말 감사드리고...,행복
ㅋ 대통령이 가방 들때 부터 웃겼다.,행복
할머니 왜그래,공포
음~~알파고를 이길사람은 나뿐이군...ㅋ,중립
전기공사기사워드 1급면허증 1종 보통 실용글쓰기기 650점나이 29살하이닉스 목표로 하고 있는데 가능할까요/?ㅠㅠ,공포
약을 너무 많은 종류를 섞어 먹여서인가여??,공포
법알못인데 계속 헌재 답변서 재출 안하고 출석 안하면 어떻게 되는거예요?,중립
흐흐흐흐 내다크서클 어쩔꺼냐,슬픔
귓방맹이를 한대 쳐 갈기고싶은 분 손?,분노
한국은 안그래도 정치적으로 힘든데 트럼프 당선 되서 경제까지 흔들릴 판이네요;;,공포
님들 있어서 그나마 이 나라가 ㅠㅠ,행복
어쨋다 얘기나올까봐 겁나기도 하고어떡해야 하련지 모르겠어요.,공포
에라이 후레아들노무 새끼 같으니라구,혐오
주말알바고 대학로근천데 사람이 왜 안구해지는지 모르겟음....,공포
전부 거짓말이다,혐오
아니면 수술비용만 그렇게 나오는건가요?,공포
이종석 인형같애 너무 잘생김,행복
솔직히 한달도 안사귀고 2년 기달려달라는건 제욕심 채우려는거같고ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,슬픔
개수작 얼마나 쳐먹을려고,분노
기관이 가지고 노는 구조의 주식시장에서뭘더 바라겠니!,분노
대한민국은 무슨법이 죄인을 떠받드냐,분노
퍼질대로 퍼지고미추어 버리겠네,슬픔
아무리 돈이 좋아도 이 변 은 뭐 이런 인간을 변호하냐 ㅡ,분노
세상엔 미친사람이 참 많다,분노
전라도쪽 출신이라하던데 ...,혐오
생활속의 작은 기쁨 ㅎㅎ0,행복
저 아는게 정말없어서요,공포
노트 시리즈로 먹고사는대 강경하게 나갔으면 셈숑도 미래가 감당키어렵지,중립
솔직히 시즌 끝나고 저렇게 굴리는게 도움이 될까?,놀람
그나마 다행이 기각폰은 안됐네 ㅋㅋㅋ 탄핵폰 ㅊㅋㅊㅋ,행복
공부하려고 마음먹고 계속 해야지해야지 하고 생각은하는데공부를 안해서 고민..,슬픔
법원의 명재판에 경의 를 표하버다,행복
레알은 2군으로도 챔스4강권스쿼드만들려고하나,중립
개고기도 가져가서 먹는 넘 있겠지?,중립
일본의개 박정희가 독재한 나라..,분노
계속집에만있게되요,슬픔
이런인간이 변호사라니~양심은 쓰레기통에 갖다버리셨나?,혐오
작가가 노답. 배우들은 뭔죄냐,슬픔
짱!!!웃기요!~,행복
역시 천상 골키퍼 브라보!,행복
근데 진짜 웃겼어요 ㅋㅋㅋㅋㅋㅋ,행복
승관아~ 너에게 편지를 안 쓸 수가 없네.,행복
내리자마다 달려가서 번호따야하는건가 뭐라고말해야하나 ..,공포
플로리다도 트럼프한테 넘어가고 선거인단 60명이상 차이날거 같은데캘리포니아에서 클린턴이 이긴다해도 쉽지 않을 듯,혐오
그냥 아무것도 하지말란말야,혐오
뭐 좋은 방법 없을까요...,공포
터널저 영화는 보는 내내 손에 땀 납니다...,중립
하 잘 될 수 있겠죠ㅜㅜㅜㅜ,슬픔
지금서울 가을하늘별총총,중립
이쁘고 섹쉬하기 까지 합니다.,행복
내가 생각하는 최악의 여자~메갈인데 종교에빠졌고 그와중에 강아지키우면서 우리아기하는 여자,혐오
증가율 연20%네!,놀람
어느순간몸이 이렇게 불어잇더라고요..,놀람
웃고 싶을땐 형돈이 형만 보는듯..ㅋㅋㅋㅋ),행복
내년을 기약하며 무적엘쥐의 신화창조는 아직 끝나지 않았다!!!!,행복
오늘감동이엇어준영오빠ㅠ,행복
강소라 겁나 부럽당....ㅠㅠ,슬픔
애반스 고평가 개쩌내 하위권팀에 있었으면 방출용병인대 두산버프받은거자나,놀람
기사 읽는 순간 소름돋음 너무 무서운 실험이다,공포
그래서 장문의 문자로 알겠다 보냈는데 이성적이구 바쁜사람이라 제 생각안났다구 하는 사람 잘해줘서 후회없다는 사람 연락올까요?,공포
엥??? 백만명?? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저분들 숫자개념없으신가 ㅎㅎ,놀람
원래 명절지나면 몸무게가 느는데 오히려 줄었어요.,행복
이런기사 나오면 경찰의 부실수사가 아니냐는 비난을 면하기가 어렵다고 봐야지..,중립
니들 하는거 보니까...진심...무섭다..,공포
뭣도 모르고 사람이 바뀌었단다 ㅋㅋㅋㅋ,분노
아직도 계좌 추적 안했어~,분노
"위안부 문제는 민간이 할 일이다,",중립
이제 헌재판결을 지켜보고 소중한 대한민국 안정을 위해 다들 노력했으면 합니다,중립
이와중에 악플다는 한남충들 많은거 보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,혐오
교과서 불법 표기 애플까지 뻔뻔하게 지도로 일본땅이라고 표기했답니다,분노
아무리 명감독의 전술과 조련이 있더라도 기본적으로 선수가 좋아야한다.,중립
여자들도 애매하게 행동하나요?,분노
댓글 알바늠들...ㅋㅋ 또 빨갱이 타령하네 ㅋㅋㅋ,혐오
참 새누리 가지가지 한다.........,혐오
히딩크도 처음엔 그랬다아직 끝난것도아닌데 까지좀 마라,중립
국정원이 또 ~~~~,놀람
집밥 백선생 감사이 잘 보고 있습니다,행복
니미1팔년들 알프스에 데려가서 꼭대기에서 밀어삐는기라 시신은 동태상태로 드는걸로,분노
불쌍한 이재용..,슬픔
무슨 운동을 해야 할지 모르겠어요,공포
앞으로 그리울거같고 회장님이 없는 빈자리는 너무나도 크게 느껴집니다...ㅜㅜ,슬픔
그래도 너무 빠른 변화가 무섭기도 한건 사실인것같다....,공포
세상사는게 정말버겁더라.,슬픔
막가 얍샾 두놈이서 놀고 자빠졌구나 천벌받을 놈들이다.,분노
이번 해 좋은 일 많이 많이 ~~~~~,행복
양세형의 가장 큰 장점은 낄낄빠빠의 정석이라는 점,혐오
염병하네 혼내주신 아주머니 감사합니다,행복
무마하기엔 너무 많이터졌잖아.,혐오
어떡해 처음인데 ㅋㅋ,공포
거짓말 거짓이 드러난다 대통령.,분노
아이언맨보다 메트릭스 느낌인데.,중립
류중일 감독님 원합니다,행복
삼성꺼 한번 써보려고 하니깐 이런일이..ㅠㅠ,슬픔
NC 코리안시리즈 진출 축하드립니다.,행복
막연히 보고싶다.,슬픔
...감방에서 밥먹여줄 가치도 없다....,분노
나라를 팔아 먹는 이완용이구나 AI걸린 닭을 팔아 먹다니....,분노
닭근혜도 쓰레기짓한거 맞는데 막말로 역대 전권들 다들 블랙리스트식의 인사및지원했잖아...,분노
그거 보면 혹시나 해서 한번 더 잡아보고픈데겁이 나네요,공포
잘한건 잘했다고 창찬받고 다른일처리들도 좀 잘해라,중립
뽀뽀하는 게 아니고 길 물어보는 것 임,중립
밥도국민이내는세금이니아까우니까쫄쫄굶겨죽여,분노
김기춘이 아직 대통령은 그대로니 말조심하라고 협박했다며??,혐오
헐..대!!!!!박!!!!!,놀람
기자개레기네.....,혐오
친구들이랑 사이도 좋고 다 좋은데 우울해지네요,슬픔
하와이가 중국땅이라면 당신들도 가만히 있을까?,분노
연예인들한테 뭘 그리들 신경쓰냐? 니들하고 하나도 관계없어.,중립
아 증말 여의도 새누리 당사로 가자니깐,분노
이게 21세기라는게 놀라울 따름입니다ㅋㅋㅋㅋ,놀람
조진웅이 언제부터 대단했다고 무슨 해결사 드립치냐?,혐오
18세면 선동해서 이용해 먹기 좋을때죠 ㅋㅋ,중립
예민한 예술가라는 핑계로 또라이짓 합리화 시키는인간들이 참 많다,혐오
일본아 우길걸 우겨라,분노
만약 전부다 불합격되면어쩌죠?,공포
열심히 응원해요^^,행복
진실하게 말하는 모습 인상깊습니다...,행복
지하철 공사......무섭다,공포
부와 권력에서 지구 최강을 찍으셨네...,놀람
박사모가 아직도 존재하는게 웃기다,분노
흔히 군대용여친이라 하죠;,공포
조인성형님 멋있오...더킹 대박...,행복
매번싸움..정말지칩니다...,슬픔
근데 돌아갈수없어 슬픔.0,슬픔
소름 돋고 할 말을 잊었다,놀람
광희말고 양세형이 들어왔어야했는데,중립
ㅎㅎㅎ 먹고살기힘들다 ㅡ저것도 직업이니 어쩔수가없네 ㅡ마음은 박근혜하야면서 먹고살라고 저런말을하네 ㅎ,슬픔
1회본 사람이 추천해줘서 2회봤는데 재밌던데요 ㅎㅎ 구르미랑 캐리어 둘 다 보려구요,행복
사진 내리면서 보는데 홍종현 사자인줄 알았네...,중립
내 마음은 변하지도 않는데..,슬픔
많이 힘드셨을텐데 꾹 참으시고이렇게 즐거운 하루를 보내게해주셔서 정말 감사 또 감사드립니다!!(아!,행복
커피프린스 이후로 드라마 기다렸는데 너무 기대 됨,행복
쉽게 접할수있는 재료들로 쉽게 요리할수있게 도와주셔서 너무 감사드려요..,행복
경찰인력 남아도냐? 민생치안에 힘써라!! 힘있는 놈 돈있는 놈 뒷치닥거리 하지말고!!,분노
너무 드라마나 영화같이 짜맞추고 과장되고 단독 속보 형식으로 매일 터지는 그런보도를 보며 억울한부분도 있겠지,공포
"기상청은 지미 낙하산들만 앉혀놨나 기본적인 능력도 안되는 링겐들 집합소인 것 같네,",혐오
지동원은 미끼였네 중요한건 정성룡이였어,놀람
변명 핑계 집어치우고 다 폐기해라,분노
참 이런나라가 지구를 대표하니...외계인에게 멸망당해도 할말없을듯....,혐오
전국적으로 75만명 참여,놀람
저같은분 계시나요;,공포
남자가 진짜 좋아하는 여자는 손도 못대고 아낀다는데그럼 계속 뽀뽀할려고하고 손잡을려하고잘려고 하는건 걍 섹파개념으로 생각하는거야???,놀람
에혀. ..우리나라 국민도 인권대우 그닥인디....뭘 어쩌라고? 열악? 우리가 더 열악한곳 많은디....어쩌라고?,놀람
뇌구조부터가 잘못됐으니 부모원망해야지 이 송장들아 ?,분노
비아그라용도가 김기춘일수도,혐오
이정도면 탈모심한거냐..,공포
슬리피가 진정한 프로다,행복
부자처럼 보이면 불안하니까,공포
12월9일 닭잡는날 ~유후,행복
외국인은 머리빠져도 멋있는데...나는...,슬픔
나 조금 박보검 닮음,중립
보수의 해체를 축하한다,행복
개누리 비박은 국민 편에 서라!!!!,혐오
워낙빡대갈이라.,중립
장그래가 결혼이라니,놀람
임신하고 힘들어하면 프로가아닌건가힘들어도ㅈ내색안코 일에 지장을 주지 않아야 프로인건가,분노
눈물의 똥꼬쇼를 보고 계십니다.,혐오
결혼하고나서 남편이랑 회사 가까운 곳으로 이사오면서...,공포
야 음악 좋다!!!!!다!!!!!다!!!!,행복
이것보다 전안법에대한 기사를 써주세요..기사가별로 없네요,중립
근데얘가 저를 진심으로 좋아하는지모르겠어요,공포
인공 자궁만 만들면 인간사육장이 생기겠네요 오로지 사료만 먹이고 운동시켜 부속으로 팔겠지요. 무섭다 ㅠㅠ,슬픔
요금은 요금대로 올려버리고 여저히 서서가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,중립
왜 저딴 쓰레기들이 보수야. 저것들은 범죄자 옹호단체지.말 똑바로써라,분노
군인이라 누군가의 명령에 복종하는듯...,슬픔
진짜 인생은 유재석처럼 ㅋㅋㅋㅋ,행복
언론해체에 촛불듭시다,분노
안 본 사이 더 예뻐 지셨어요.,행복
트럼프 백퍼 탄핵 당할듯,중립
정치판이란 무서운곳이구나~~,놀람
아스날도 이런식으로 구단운영하면 못버틸듯.,놀람
히히 안녕하세요,행복
법인세 걷어서 충당하자,중립
김기춘하고 둘 중 한 x는 당연히 거짓말이지...,분노
남친 유격훈련가서 연락이 안되여ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,슬픔
단통법 이 개같은 법안은 왜폐지 안시키자 저번주부터 밀렸던만 오늘 당장 폐지 시켜라,혐오
그럼 경유값 올리면 고등어값도 오르나?,혐오
자영업 고마 하라는 거지..,슬픔
거제사람으로 너무나 부끄럽고 죄송합니다.,슬픔
어쨌든 너무 당기고 아프더라구요...,슬픔
와대박이다대받!!!!!,놀람
개념없는 정부관계자들 이러니 돈받고 합의나하지,분노
지석진은 남네....,중립
한국은 2~3년 아닌가? 최소 30년이 답이다,혐오
이제는 언론에서 뛰여주면 겁난다. 망할까바,공포
마음에 뭔가 변화가 있는건지..,공포
삐빅 홍어들이 몰려와 깽판칠 기사 입니다,중립
진짜 겸손하다 ㅜㅜㅜㅜㅜㅜㅜ,행복
아님말고 식의 이런 댓글이 핸펀 터진것보다 무서운거 ㅜㅠ,슬픔
우왕~~~!,놀람
난 이미 옴래기 이후로 삼성 스마트폰을 신뢰해본 적은 단한번도 없음.,혐오
근데 요즘 걔가먼저보내는데 반응은 시큰둥하거둔요 ?,공포
요즘 갤럭시노트5 얼마하나요,중립
무도는 ㅜㅜㅜㅜ 무도도 나와요 ㅜㅜ,슬픔
어디서부터 정리해야하나..,공포
나이가 몇살인데.. 대위역을. . 엄청난 동안으로 착각하네. . ㅎ ㅎ. .,행복
무슨 자신감이냐? 자국민 호구로 보는 쑤렉이기업이 해외에서 성공할꺼같냐?,분노
대한민국 정부가 가장 큰 문제인듯,혐오
내 콧속에 있지.,중립
의학 드라마중 최고다 몰입감 최고,행복
3년동안 연구비가 안끊긴게 더 신기하네,놀람
비아그라먹고 굳 했다고 자백해라 어서.!!!,혐오
남자들 군대가면 전여친 생각하나요?,공포
사기꾼들은 말빨로 분위기 조성하며 사람을 홀리게 하는 재주가 좋더군요.,놀람
저한테 문제가 있어서 남편이 바깥으로 도는걸까요?,슬픔
빤형 혜자 계약 인정합니다,행복
술값은 저런걸로 올리면 이해나 하지...,중립
그동안 돈버른거 환수조치 해라,분노
청와대가 이제보니 주사파 소굴이었다,놀람
그럼 계속진화한다면 원숭이는 사라져야했던거아닌가,중립
올해안에는 다 밝혀지겠지?,혐오
울나라엔 가물치들 다들 어디가고 베스 넘들이 설치는거야?????,중립
이아바 할 때 보니 코믹연기 엄청 잘하던데~ 완전 웃겼음ㅎㅎ,행복
되도록이면 빅리그로 가길바란다,중립
이여진기상캐스터의 살스는 진리다~~,행복
일수하는문제 때문에 이렇게 될지는 몰랐고남자친구랑 싸웠어요,분노
한국의 자주국방을 지지해주시는 트럼프 고맙다,행복
저 인문계갈수 있나요?,공포
이래서 tv는 스탠드형은 위험해 벽걸이로 설치 ㅡㅡ 새우튀김도 밖에서 먹자,중립
ㅠㅠ 7년간 일한직장서 버림받은 느낌!,슬픔
죽을것만큼 아픈건 사라지지 않았나요..?,놀람
이제 마음껏 관리받고 미용실도 가시길아 전에도 뭐 세상 편하게 하셨구나...,분노
지난주랑 서울 150만 똑같네..,놀람
티볼리 좋은가요 아시는 분 평가좀,중립
날씨추운데 뉴스거리 참 웁다. 웁써,분노
현빈 뿐 아니라 자동차 총격 씬은 빙구형도 멋지더군요~~,놀람
백인들이 공장에서 조립하는일 별로 안좋아할텐데..,혐오
글만 읽어도 눈물이 핑..,슬픔
중간고사 망치고 기말고사 잘봐야지 하는 느낌인데?ㅋㅋㅋㅋㅋㅋㅋ,중립
무슨 여친냅두고 부킹해서 관계를 했다는둥 군대 갔다오니까 여자친구가 성에 안찬다는둥 딴여자가 눈에 더 들어와요 ㅋㅋㅋㅋㅋㅋㅋ?,분노
과연 전화가 올까요 ? 안올까요 ?,공포
"얼마전에 밀양 캠핑하러 야외캠핑장 찾았다가, 아~ 여름캠핑은 하는거 아니구나 ..",놀람
박남정은 가수로써 그 시대 한획을 그었다..,행복
화장을하든 변장을 하든 오지랖떨지마,혐오
난 가족내에서 내가 불편한 존재라는걸 알게 됐을때 허허..,슬픔
토일월 이렇게 매일 전화 왔는데ㅜ,슬픔
하느님께서 너희를 위해 그 여자에게 심판을 선언하셨기 때문이다.,혐오
정말로 감격적이었습니다.....,행복
마음 정리가 확실히 된거겠죠...?,공포
시청자의 한 사람으로써 재미있는 프로그램 제작을 위해 열일해주셔서 항상 감사합니다,행복
탄핵기각시 직무복귀위해 최소한의 비공식 보고헐 헐 헐,놀람
요즘 취업어려워서 의대가는애 공대가는애 확실히 걸려낼려면 어렵게 내야겠지 교육부 욕 안먹을라면,혐오
캐럿들이 힘들어하는거 어떻게 아시고 ㅠㅠ,행복
투명한건 없지 이나라에,혐오
"국민을 위해서 무엇을 했고,앞으로 무엇을 할수 있나요?",혐오
두 사람 구속은 당연한거고 건건이 지켜보겠어.,분노
시작부터가 불륜이었는데 뭐. . .남의 눈에서 눈물나게함 내 눈에선 피눈물난다,혐오
1인4만원이나 하는게 서민음식은 아니지...,혐오
난 가족이랑 있을땐 오히려 폰 안하는데.....,중립
생각했어요쿵,공포
아니 딱 봐도 부은 얼굴이었는데 사람들 깔때마다 대체 내가 아니라고 얼마나 쓴지 모름...,슬픔
오빠가 김해 온다니 정말^^I.N.,행복
폭력이 안되면 그럼 또깥이 몹쓸짓을 돌려주던가,중립
두고두고 역사에 남아 조롱받을 년.,분노
루니가 상징적인 존재라 갑자기 주전 제외 시키면 문제 생길테니 명분을 만드는거 같음,중립
하야해라.박근혜 하야해라....,혐오
쓰레기 친박 ㅎ 장지져 OOO1 끼야 이정현,분노
뭐하노.들어가서 자라 자,혐오
재미따 재미따 재미따 ㅎㅎㅎㅎ,행복
"연아양, 우승 축하하구요",행복
진짜 억울해요,슬픔
숫기도없고 뭐 잘하는것도없어요 ..,슬픔
정삼흠투수코치최고!!!!!!!!!!!!!,행복
법에 위 아래가 어디있냐? 기사 쓰는 꼬라지 하고는 ㅡㅡ,혐오
택시가 대중교통이 될수없는 이유.,중립
관중일 양심이 있음 사퇴해라,혐오
저년 혓바닥을 짤라야 바른말 할려나,혐오
손흥민 오늘 진짜 못했다 인정하자 눈 썩는줄,혐오
요즘 피시방 가면 뭐하는데???,중립
사람마음이 있죠..,슬픔
여기저기 구설수가 많은데도 저정도 지지를 얻는거보면 무섭다,공포
7월중순부터 어제까지 24시간 에어컨 틀었는데...,공포
ㅋㅋㅋㅋ아직도얼굴들고다니나,분노
연봉 수준이 진짜 천문학적이딘,놀람
이 사람은 자신을 과대평가 하고 있어...,공포
인터넷 보니까 표지는 뜨던데 표지정도 수위의 사진들이 많은건가요?,놀람
이젠온힘을다해서너를잊을게너도이제그만생각나주라,슬픔
우리나라최고의 타자가 메이저에선 마이너수준이란말인가,놀람
강원도 인제 1500원인데 이제는 갈일 없지만,중립
술안먹는 손님은 출입금지 안시키냐? ㅋ,분노
저처럼 거리가먼 직장다니는분들있나요..,슬픔
조리장들이 해주는 고급요리에 따뜻하고 넓디넓은곳에 있으니 저런소리하지!,분노
듣던중반가운 소리다.,행복
뭐니뭐니 해도 프로제엑 그룹 IOI 였징!,행복
성룡 본인만 해도 가진 돈 엄청날건데 클레스 자체가 다르네,놀람
제주도에서 회한번 먹을라니까 3인분에 18만원 달라카더라,놀람
600억의 오오라가 느껴진다...,놀람
왜 우리가 성적만을 봐야 하는 골글에서 우승프리미엄을 더해야 하는가?,혐오
광주시민으로서 좌빨 찌라시에 속아 민주화운동이라고 했던 자신이 부끄럽고 분노스럽다.,분노
인생 끝나는거 한순간,공포
권력이란게 이런건가역사책에나 나오는 걸로 알았는데,놀람
5.8보다 큰지진은 안온다고 장담을 하던데..........,분노
너무 일찍 꽃 피워 제 철 지는 꽃이 되었네.,중립
이권태기도 2달됫는데 사라지지않네요,슬픔
이번에 병원 총무 및 일반사무원 면접보러오라고 해서 갈건데 퇴사사유를 뭘 어떻게 말해야하나요ㅠㅠ?,슬픔
지금까지 너무 당연게 인생을 살아왔기 때문일지도 모른다.,중립
노트시리즈 수백만대를 사용 잘하고 있는데 뭔가 냄새가 난다,공포
박근혜 최순실 반드시 사형시키자!!!,분노
제가 노력한게벌받을까요,공포
청문회에서 이재용은 아직도 칩성이 최고로 투자 하는걸로 알고 있던데..,놀람
말그대로 흉칙한 상이다!!저런게 있었다는게 더 놀랍다,혐오
군대갔다오면 M자탈모 나만생기냐,중립
그래도 마지막에 과르디올라 선수들 다 안아주는거보고 진짜멋있었음,행복
그리고 다른 방송에서도 1위 할 수 있게 제가 열심히 노력할게요ㅠㅠ,행복
꿈이 소름돋을정도로 리얼했음...,놀람
박근혜는 탄핵 의미를 모를듯 .......,혐오
조건안본다는 여자건 남자건모든걸 다본다는거임,놀람
언제나 지금처럼 건강하시고 보이든 보이지않든 저에게는 오빠는 항상 반짝반짝 빛나는 별입니다,행복
존나 무식한 기자로..,혐오
진짜 싹 의식개선을 해야하는데 썩은 물 갈이도 좀 하고. 자기 자식이라도 저럴까?,혐오
성관계 관련인데...;;너무 급해요,공포
마녀를 마녀라 하는것도 죄인가?,공포
속보 대통령타살 김기춘 우병우소행으로보임~~,분노
아니 저걸 어찌알고 확보했데?,놀람
남자들도 저럴땐 여자 죽빵 날려야함 정당방위,혐오
